Playlists,Precision,Recall
Rock Me UP!,0.391652893,1
Women of Pop,0.178408644,1
Mellow Bars,0.369963235,1
Piano in the Background,0.171384471,1
Mood Booster,0.267963235,1
Salsa Hits_ Los 90s,0.273661417,1
Country's Greatest Hits_  The '60s,0.184609461,1
Guilty Pleasures,0.169812207,1
Indie Workout,0.172922014,1
Made in Chile,0.572922014,1
Cool Down,0.269320113,1
80s Rock Anthems,0.168449905,1
Get Turnt,0.23114,1
All Out 90s,0.170629302,1
Country's Greatest Hits_  The '80s,0.164861368,1
80s Hard Rock,0.166704545,1
Alternative 10s,0.228465,1
Feel-Good Indie Rock,0.179786756,1
Pop Sauce,0.179585666,1
Autumn Leaves,0.165329567,1
Deep Dark Indie,0.276354,1
One-Hit Wonders,0.165396825,1
Alternative 90s,0.165471698,1
Soft Pop Hits,0.163643411,1
Country's Greatest Hits_  The '70's,0.214857,1
Latin Pride,0.161917808,1
One More Rep,0.156246057,1
A Perfect Day,0.161917808,1
Happy Folk,0.150576923,1
K-Hip-Hop Beats,0.149210526,1
The Most Beautiful Songs in the World,0.19745234,1
Low-Key,0.231758,1
70s Rock Anthems,0.245778894,1
Wake Up Happy,0.198465,1
Contemporary Blend,0.157928731,1
Retro Pop,0.151122244,1
Adrenaline Workout,0.172767978,1
Workday_ Pop,0.15517094,1
Hard Rock Workout,0.158156425,1
Chill Instrumental Beats,0.215793,1
Lush Lofi,0.196464286,1
Country's Greatest Hits_  The '50s,0.204068441,1
Punk Rock Workout,0.15561086,1
NTC_ Studio Sounds,0.148823529,1
All Out 00s,0.148763931,1
Your Favorite Coffeehouse,0.156590126,1
Infinite Acoustic,0.1254367,1
Swagger,0.235408163,1
The GRAMMYs Official Playlist,0.197642971,1
All Out 80s,0.158156425,1
New Music Friday,0.2071875,1
Pumping Iron,0.1846583,1
Country's Greatest Hits_  The '90s,0.224368441,1
Alternative 00s,0.15561086,1
Grime Shutdown,0.148823529,1
Rap UK,0.169963235,1
Alternative 80s,0.173661417,1
Stay Wild,0.184609461,1
Abuela's Mix,0.169812207,1
Rockin' Vibes,0.172922014,1
You & Me,0.572922014,1
Young & Free,0.169320113,1
It's ALT Good!,0.168449905,1
90s Pop Rock Essentials,0.179439655,1
Bedroom Pop,0.170629302,1
2000s Smash Hits,0.164861368,1
Nike Running Tempo Mix,0.166704545,1
Extreme Metal Workout,0.168109932,1
Pop Chile,0.179786756,1
NTC_ Gym Strong,0.179585666,1
Good Vibes,0.165329567,1
Soak Up the Sun,0.163148148,1
Songs to Sing in the Car,0.165396825,1
EDM Workout,0.169963235,1
G.O.O.D. Music,0.173661417,1
LA Pops,0.184609461,1
Soul Coffee,0.169812207,1
Alternative 60s,0.172922014,1
NTC_ High Intensity Training Tracks,0.572922014,1
Off the Strength,0.169320113,1
Pop Rising,0.168449905,1
Early Alternative,0.17457944,1
I Love My '90s Hip-Hop,0.170629302,1
Orgullo Afro-Latino,0.164861368,1
Mega Hit Mix,0.166704545,1
80s Smash Hits,0.168109932,1
La Troca,0.179786756,1
Feelin' Good,0.179585666,1
Songs to Sing in the Shower,0.165329567,1
Grime Instrumentals,0.163148148,1
LatinX Indie,0.165396825,1
Most Necessary,0.165471698,1
Latinos Unidos,0.163643411,1
Alternative Hip Hop,0.161917808,1
Acoustic Covers,0.161917808,1
Acoustic Hits,0.156246057,1
Lofi Hip-Hop,0.161917808,1
90s Acoustic,0.150576923,1
Have a Great Day!,0.149210526,1
60s Rock Anthems,0.19745234,1
00s Rock Anthems,0.159898534,1
Weekend Hangouts,0.245778894,1
Everyday Favorites,0.151616162,1
The Realest Down South,0.157928731,1
Latin Pop Classics,0.151122244,1
Alternative 70s,0.172767978,1
The '80s All Lined Up,0.15517094,1
Good Times_ Great Oldies,0.158156425,1
Hot Country,0.219475,1
POLLEN,0.5403867,1
All The Feels,0.161917808,1
NIKE RUNNING FASTEST MILE,0.150576923,1
All Out 70s,0.178945,1
New Tejano,0.19745234,1
All Aussie Hip-Hop,0.159898534,1
Teen Party,0.245778894,1
Signed XOXO,0.3245742,1
Ill Lyricist,0.157928731,1
Tejano Classics,0.151122244,1
Dreamy Vibes,0.172767978,1
Country Coffeehouse,0.15517094,1
Salsa Classics,0.213438,1
Left of Center,0.2097455,1
Motivation Mix,0.24859205,1
Epic Workout,0.324615,1
Sad Vibe,0.15561086,1
Wild Cards_ Winter Mix,0.148823529,1
Pop Matters,0.1673956,1
Cloud Rap,0.189465,1
Cali Fire,0.156592013,1
Walk Like A Badass,0.235408163,1
Crowd Pleasers,0.197642971,1
Afropop.csv,0.158156425,1
Out Now,0.2071875,1
Running & Workout,0.167439,1
Love Ballads,0.2148576,1
All Out 60s,0.329576,1
Anti Pop,0.3756525,1
Canciones del Recuerdo,0.169963235,1
Rock Your Body,0.173661417,1
Fitness Araby,0.1937584,1
Country's Greatest Hits_  The '40's,0.169812207,1
Life Sucks,0.3257495,1
Tomorrow's Hits,0.572922014,1
Latin Party Anthems,0.169320113,1
Cumbia Anthems,0.168449905,1
Certified Gold,0.123535,1
Mellow Pop,0.170629302,1
Now Hear This,0.590306,1
Exitos USA,0.18936547,1
Hit Rewind,0.168449905,1
90's Hip-Hop Don't Stop,0.179439655,1
Global Viral 50,0.4739456,1
Vibras,0.197465,1
Straight Off The Porch,0.166704545,1
Urban Poet,0.168109932,1
Fiesta 90era,0.179786756,1
All Out 50s,0.2232467,1
Persian Essentials,0.165329567,1
United States Viral 50,0.189374,1
Endorphin Rush,0.165396825,1
Born To Run 150 BPM,0.165471698,1
Trap Instrumental Beats,0.163643411,1
Fresh & Chill,0.1784903,1
Bodega Sounds,0.1836583,1
Drifting Apart,0.156246057,1
Just Get Going! 155 BPM,0.214566,1
Power Workout,0.150576923,1
Confidence Boost,0.149210526,1
Latin Jazz,0.19745234,1
Bachata Classics,0.159898534,1
Hype Rhythm,0.245778894,1
La Barberia,0.3985635,1
Rock This,0.157928731,1
100% LatinX,0.151122244,1
50 Latin Classics,0.172767978,1
Autumn Acoustic,0.3329465,1
Acoustic Hits_ Oldies but Goodies,0.158156425,1
Clinically Cold,0.2071875,1
Boleros,0.2431563,1
Rep The Set,0.161917808,1
70s & 80s Acoustic,0.150576923,1
Mellow Styles,0.209465,1
Throwback Workout,0.19745234,1
Hype,0.159898534,1
Beats & Rhymes,0.245778894,1
90s Rock Anthems,0.284956,1
No Wahala,0.157928731,1
Viva Latino,0.151122244,1
Sawa,0.172767978,1
Calm Vibes,0.274075,1
Throwback_ Latin Explosion,0.158156425,1
The Piano Lounge,0.2071875,1
HIIT-Hop,0.156964286,1
Tear Drop,0.432564,1
El Bloque,0.15561086,1
Today's Top Hits,0.148823529,1
I Love My '80s Hip-Hop,0.148763931,1
Raw Beats,0.156590126,1
Latin Cardio,0.15517094,1
Happy Hits!,0.158156425,1
Footwork Fever,0.2071875,1
Tender,0.216749,1
Beats n' Bars,0.161917808,1
Global X,0.150576923,1
LADY GAGA  JOANNE,0.149210526,1
Mambo Classics,0.19745234,1
Mind Right,0.159898534,1
Global Top 50,0.245778894,1
Hip Hop Made Me,0.3427578,1
Lounge - Soft House,0.157928731,1
ThrowbackThursday,0.151122244,1
Radio 1 Playlist (BBC),0.172767978,1
Powerwalk!,0.15517094,1
Sad Beats,0.158156425,1
Fresh Finds,0.2071875,1
Chicano Fly Zone,0.4692057,1
Beast Mode,0.32859343,1
State of Mind,0.15561086,1
Happy Beats,0.148823529,1
A1 Hip-Hop,0.148763931,1
Para Entrenar,0.174565901,1
Hella Good New Millenia Hits,0.2435856,1
Pop Warmup 130 BPM,0.235408163,1
80s Love Songs,0.197642971,1
Workout Twerkout,0.158156425,1
Fantastic K-Workout,0.2071875,1
Lowkey Flex,0.156964286,1
Pumped Pop,0.204068441,1
Doo-Wop Dee Doo,0.1264677,1
